地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2010/03/31,06:18:34.5,茨城県沖,36°25.3′N,140°38.7′E,55 km,4.6,震度４
2010/03/14,17:08:04.1,福島県沖,37°43.4′N,141°49.0′E,40 km,6.7,震度５弱
2010/03/13,21:46:26.7,福島県沖,37°36.8′N,141°28.3′E,78 km,5.5,震度４
2010/02/27,05:31:25.9,沖縄本島近海,25°55.1′N,128°40.8′E,37 km,7.2,震度５弱
2010/02/21,11:49:44.8,伊予灘,33°49.5′N,132°18.4′E,13 km,4.5,震度４
2010/02/07,19:33:52.6,石川県能登地方,37°21.7′N,136°57.4′E,11 km,4.0,震度４
2010/01/30,13:29:45.8,宮城県南部,38°03.5′N,140°40.1′E,9 km,4.1,震度４
2010/01/30,01:43:47.3,宮城県北部,38°31.6′N,141°03.9′E,15 km,4.0,震度４
2010/01/25,16:15:09.2,大隅半島東方沖,30°52.4′N,131°09.0′E,49 km,5.4,震度４
2010/01/24,16:19:05.6,青森県東方沖,41°12.5′N,141°38.7′E,14 km,4.5,震度４
2010/01/21,02:59:23.3,静岡県伊豆地方,34°58.4′N,139°07.1′E,5 km,4.4,震度４
2010/01/07,16:11:35.3,奄美大島近海,27°56.9′N,128°52.6′E,44 km,4.8,震度４
